"2011-2012 IMMUNIZATION STATUS OF KINDERGARTEN STUDENTS, CALIFORNIA",,,,,,,,,,,,,,,,,,,,,,,,,,,
"In schools with 10 or more kindergarten students enrolled.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SCHOOL CODE",COUNTY,"PUB/ PRIV","PUBLIC SCHOOL DISTRICT",CITY,"SCHOOL NAME",ENROLLMENT,UP-TO-DATE†,,"CONDI- TIONAL*",,PME**,,"PBE§ ",,DTP††,,POLIO¥,,"1 MMRll ",,"2 MMR‡ ",,HEPB§,,VARI¶,,REPORTED
,,,,,,,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,
6110779,ALAMEDA,PUBLIC,"ALAMEDA CITY UNIFIED",ALAMEDA,"BAY FARM ELEM.",65,64,98.4615384615385,0,0,0,0,1,1.53846153846154,64,98.4615384615385,64,98.4615384615385,64,98.4615384615385,64,98.4615384615385,64,98.4615384615385,64,98.4615384615385,Y
6100374,ALAMEDA,PUBLIC,"ALAMEDA CITY UNIFIED",ALAMEDA,"EARHART (AMELIA) ELEM.",102,102,100,0,0,0,0,0,0,102,100,102,100,102,100,102,100,102,100,102,100,Y
6090013,ALAMEDA,PUBLIC,"ALAMEDA CITY UNIFIED",ALAMEDA,"EDISON ELEM.",74,57,77.027027027027,13,17.5675675675676,0,0,4,5.40540540540541,65,87.8378378378378,61,82.4324324324324,70,94.5945945945946,61,82.4324324324324,70,94.5945945945946,69,93.2432432432432,Y
6090039,ALAMEDA,PUBLIC,"ALAMEDA CITY UNIFIED",ALAMEDA,"FRANKLIN ELEM.",50,49,98,0,0,0,0,1,2,49,98,49,98,49,98,49,98,49,98,49,98,Y
6090047,ALAMEDA,PUBLIC,"ALAMEDA CITY UNIFIED",ALAMEDA,"HAIGHT ELEM.",50,49,98,1,2,0,0,0,0,50,100,50,100,50,100,49,98,50,100,50,100,Y
6090005,ALAMEDA,PUBLIC,"ALAMEDA CITY UNIFIED",ALAMEDA,"LUM (DONALD D.) ELEM.",74,71,95.9459459459459,3,4.05405405405405,0,0,0,0,71,95.9459459459459,71,95.9459459459459,74,100,71,95.9459459459459,73,98.6486486486486,74,100,Y
0119222,ALAMEDA,PUBLIC,"ALAMEDA CITY UNIFIED",ALAMEDA,"NEA COMMUNITY LEARNING CENTER",36,25,69.4444444444444,11,30.5555555555556,0,0,0,0,32,88.8888888888889,35,97.2222222222222,35,97.2222222222222,35,97.2222222222222,32,88.8888888888889,36,100,Y
6090021,ALAMEDA,PUBLIC,"ALAMEDA CITY UNIFIED",ALAMEDA,"OTIS (FRANK) ELEM.",96,83,86.4583333333333,10,10.4166666666667,0,0,3,3.125,90,93.75,88,91.6666666666667,93,96.875,89,92.7083333333333,90,93.75,92,95.8333333333333,Y
6090120,ALAMEDA,PUBLIC,"ALAMEDA CITY UNIFIED",ALAMEDA,"PADEN ELEM.",50,50,100,0,0,0,0,0,0,50,100,50,100,50,100,50,100,50,100,50,100,Y
0111765,ALAMEDA,PUBLIC,"ALAMEDA CITY UNIFIED",ALAMEDA,"RUBY BRIDGES ELEMENTARY",100,85,85,14,14,0,0,1,1,87,87,90,90,96,96,89,89,96,96,96,96,Y
6090104,ALAMEDA,PUBLIC,"ALAMEDA CITY UNIFIED",ALAMEDA,"WASHINGTON ELEM.",25,24,96,0,0,0,0,1,4,24,96,24,96,24,96,24,96,24,96,24,96,Y
0118489,ALAMEDA,PUBLIC,"ALAMEDA COUNTY OFFICE OF EDUCATION",BERKELEY,"ASPIRE CALIFORNIA COLLEGE PREPARATORY ACADEMY",58,45,77.5862068965517,13,22.4137931034483,0,0,0,0,49,84.4827586206897,48,82.7586206896552,56,96.551724137931,50,86.2068965517241,55,94.8275862068966,55,94.8275862068966,Y
0109835,ALAMEDA,PUBLIC,"ALAMEDA COUNTY OFFICE OF EDUCATION",NEWARK,"FAME PUBLIC CHARTER",155,97,62.5806451612903,36,23.2258064516129,0,0,22,14.1935483870968,127,81.9354838709677,115,74.1935483870968,130,83.8709677419355,109,70.3225806451613,123,79.3548387096774,133,85.8064516129032,Y
0123968,ALAMEDA,PUBLIC,"ALAMEDA COUNTY OFFICE OF EDUCATION",OAKLAND,"COMMUNITY SCHOOL FOR CREATIVE EDUCATION",33,30,90.9090909090909,0,0,0,0,3,9.09090909090909,30,90.9090909090909,30,90.9090909090909,30,90.9090909090909,30,90.9090909090909,30,90.9090909090909,30,90.9090909090909,Y
6090146,ALAMEDA,PUBLIC,"ALBANY CITY UNIFIED",ALBANY,"CORNELL ELEM.",75,68,90.6666666666667,1,1.33333333333333,0,0,6,8,68,90.6666666666667,68,90.6666666666667,68,90.6666666666667,68,90.6666666666667,68,90.6666666666667,68,90.6666666666667,Y
6095376,ALAMEDA,PUBLIC,"ALBANY CITY UNIFIED",ALBANY,"MARIN ELEM.",75,68,90.6666666666667,1,1.33333333333333,0,0,6,8,69,92,69,92,69,92,68,90.6666666666667,69,92,69,92,Y
6116222,ALAMEDA,PUBLIC,"ALBANY CITY UNIFIED",ALBANY,"OCEAN VIEW SCHOOL",124,109,87.9032258064516,14,11.2903225806452,0,0,1,0.80645161290323,120,96.7741935483871,121,97.5806451612903,122,98.3870967741936,112,90.3225806451613,117,94.3548387096774,121,97.5806451612903,Y
6097729,ALAMEDA,PUBLIC,"BERKELEY UNIFIED",BERKELEY,"BERKELEY ARTS MAGNET",63,61,96.8253968253968,0,0,0,0,2,3.17460317460317,61,96.8253968253968,61,96.8253968253968,61,96.8253968253968,61,96.8253968253968,61,96.8253968253968,61,96.8253968253968,Y
6090195,ALAMEDA,PUBLIC,"BERKELEY UNIFIED",BERKELEY,"CRAGMONT ELEM",62,58,93.5483870967742,2,3.2258064516129,0,0,2,3.2258064516129,59,95.1612903225807,59,95.1612903225807,59,95.1612903225807,59,95.1612903225807,58,93.5483870967742,59,95.1612903225807,Y
6090211,ALAMEDA,PUBLIC,"BERKELEY UNIFIED",BERKELEY,"EMERSON PRIMARY",41,32,78.0487804878049,6,14.6341463414634,3,7.31707317073171,0,0,34,82.9268292682927,34,82.9268292682927,37,90.2439024390244,36,87.8048780487805,35,85.3658536585366,37,90.2439024390244,Y
6090252,ALAMEDA,PUBLIC,"BERKELEY UNIFIED",BERKELEY,"JEFFERSON PRIMARY",60,48,80,12,20,0,0,0,0,52,86.6666666666667,51,85,60,100,58,96.6666666666667,59,98.3333333333333,59,98.3333333333333,Y
